"Based on LIS, as of January 31, 2024",,,,,,,,,,,,,, Kindergarten ,, Grade 1 ,, Grade 2 ,, Grade 3 ,, Grade 4 ,, Grade 5 ,, Grade 6 ,, SNEd (Non-Graded ES) ,, Grade 7 ,, Grade 8 ,, Grade 9 ,, Grade 10 ,, SNEd (Non-Graded JHS) ,, Grade 11 ABM ,, Grade 11 HUMSS ,, Grade 11 STEM ,, Grade 11 GAS ,, Grade 11 PBM ,, Grade 11 TVL ,, Grade 11 SPORTs ,, Grade 11 ARTs & DESIGN ,, Grade 12 ABM ,, Grade 12 HUMSS ,, Grade 12 STEM ,, Grade 12 GAS ,, Grade 12 PBM ,, Grade 12 TVL ,, Grade 12 SPORTs ,, Grade 12 ARTs & DESIGN ,
,,,,,,,,,,,,,,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female
Region,Division,District,BEIS School ID,School Name,Street Address,Province,Municipality,Legislative District,Barangay,Sector,School Subclassification,School Type,Modified COC,K Male,K Female,G1 Male,G1 Female,G2 Male,G2 Female,G3 Male,G3 Female,G4 Male,G4 Female,G5 Male,G5 Female,G6 Male,G6 Female,Elem NG Male,Elem NG Female,G7 Male,G7 Female,G8 Male,G8 Female,G9 Male,G9 Female,G10 Male,G10 Female,JHS NG Male,JHS NG Female,G11 ACAD - ABM Male,G11 ACAD - ABM Female,G11 ACAD - HUMSS Male,G11 ACAD - HUMSS Female,G11 ACAD STEM Male,G11 ACAD STEM Female,G11 ACAD GAS Male,G11 ACAD GAS Female,G11 ACAD PBM Male,G11 ACAD PBM Female,G11 TVL Male,G11 TVL Female,G11 SPORTS Male,G11 SPORTS Female,G11 ARTS Male,G11 ARTS Female,G12 ACAD - ABM Male,G12 ACAD - ABM Female,G12 ACAD - HUMSS Male,G12 ACAD - HUMSS Female,G12 ACAD STEM Male,G12 ACAD STEM Female,G12 ACAD GAS Male,G12 ACAD GAS Female,G12 ACAD PBM Male,G12 ACAD PBM Female,G12 TVL Male,G12 TVL Female,G12 SPORTS Male,G12 SPORTS Female,G12 ARTS Male,G12 ARTS Female
Region I,Ilocos Norte,Badoc,100034,Morong ES,Morong,ILOCOS NORTE,BADOC,2nd District,MORONG,Public,DepED Managed,School with no Annexes,Purely ES,3,6,6,5,4,4,5,6,4,4,8,9,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region I,Ilocos Norte,Badoc,100035,Nagrebcan ES,ALAY-NANGBABAAN (ALAY 15-B),ILOCOS NORTE,BADOC,2nd District,ALAY-NANGBABAAN (ALAY 15-B),Public,DepED Managed,School with no Annexes,Purely ES,14,9,13,6,14,10,13,14,15,11,19,19,18,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region I,Ilocos Norte,Badoc,100036,Pagsanahan Elementary School,"Brgy. 5-A Pagsanahan Sur, Badoc, Ilocos Norte",ILOCOS NORTE,BADOC,2nd District,PAGSANAHAN SUR,Public,DepED Managed,School with no Annexes,Purely ES,17,11,14,21,19,17,18,24,17,12,20,24,24,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region I,Ilocos Norte,Badoc,100037,Paltit ES,"Brgy. 9 Paltit, Badoc, Ilocos Norte",ILOCOS NORTE,BADOC,2nd District,PARANG,Public,DepED Managed,School with no Annexes,Purely ES,8,8,8,6,14,10,9,12,7,3,18,23,18,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region I,Ilocos Norte,Badoc,100038,Pasuc-Parang ES,Luna,ILOCOS NORTE,BADOC,2nd District,SANTA CRUZ NORTE,Public,DepED Managed,School with no Annexes,Purely ES,4,8,5,7,4,10,3,4,4,1,8,6,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region I,Ilocos Norte,Badoc,100039,Saud ES,"Saud, Badoc, Ilocos Norte",ILOCOS NORTE,BADOC,2nd District,SAUD,Public,DepED Managed,School with no Annexes,Purely ES,6,6,8,7,8,4,11,12,7,5,19,15,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region I,Ilocos Norte,Badoc,100040,Sta. Cruz ES,"Tapao St. Brgy. 7A, Sta Cruz Norte, Badoc, Ilocos Norte",ILOCOS NORTE,BADOC,2nd District,SANTA CRUZ SUR,Public,DepED Managed,School with no Annexes,Purely ES,8,2,9,4,5,6,16,11,11,2,8,16,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region I,Ilocos Norte,Badoc,100041,Turod ES,"Turod, Badoc, Ilocos Norte",ILOCOS NORTE,BADOC,2nd District,TUROD,Public,DepED Managed,School with no Annexes,Purely ES,6,3,8,8,4,8,7,7,4,2,10,9,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region I,Ilocos Norte,Badoc,100042,Virgen Milagrosa Elementary School,"LA VIRGEN MILAGROSA (PAGUETPET), BADOC, ILOCOS NORTE",ILOCOS NORTE,BADOC,2nd District,LA VIRGEN MILAGROSA (PAGUETPET),Public,DepED Managed,School with no Annexes,Purely ES,17,14,10,7,13,11,16,9,9,11,23,7,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region I,Ilocos Norte,Badoc,150001,Aring ES,4-B Aring,ILOCOS NORTE,BADOC,2nd District,ARING,Public,DepED Managed,School with no Annexes,Purely ES,14,8,11,8,9,7,11,6,7,1,12,17,13,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region I,Ilocos Norte,Badoc,150002,Mabusag Sur ES,Mabusag  Sur,ILOCOS NORTE,BADOC,2nd District,MABUSAG SUR,Public,DepED Managed,School with no Annexes,Purely ES,8,1,6,14,8,5,10,9,5,7,11,8,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region I,Ilocos Norte,Badoc,300021,Nagrebcan NHS,"Alay, Badoc, Ilocos Norte",ILOCOS NORTE,BADOC,2nd District,ALAY-NANGBABAAN (ALAY 15-B),Public,DepED Managed,School with no Annexes,JHS with SHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,27,42,35,45,27,31,26,0,0,0,0,0,0,0,0,24,21,0,0,21,9,0,0,0,0,0,0,0,0,0,0,12,10,0,0,17,11,0,0,0,0
Region I,Ilocos Norte,Badoc,300023,Pagsanahan NHS,5-A Pagsanahan,ILOCOS NORTE,BADOC,2nd District,PAGSANAHAN NORTE,Public,DepED Managed,School with no Annexes,JHS with SHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,30,41,31,46,35,39,40,0,0,0,0,12,13,0,0,0,0,0,0,28,9,0,0,0,0,0,0,17,13,0,0,0,0,0,0,31,15,0,0,0,0
Region I,Ilocos Norte,Badoc,400002,"Badoc Junior College, Inc.","Juan Luna Street, Bgy. Canaan (Pob.), Badoc, Ilocos Norte",ILOCOS NORTE,BADOC,2nd District,CANAAN (POB.),Private,Non-Sectarian ,School with no Annexes,JHS with SHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,16,17,25,22,30,15,0,0,16,8,0,0,0,0,0,0,0,0,19,13,0,0,0,0,10,3,0,0,0,0,0,0,0,0,26,6,0,0,0,0
Region I,Ilocos Norte,Badoc,400003,"IGAMA Colleges Foundation, Inc.","Brgy. Garreta, Badoc, Ilocos Norte",ILOCOS NORTE,BADOC,2nd District,GARRETA (POB.),Private,Non-Sectarian ,School with no Annexes,All Offering,6,8,5,6,1,7,7,5,3,3,8,10,5,4,0,0,14,13,34,26,25,27,32,31,0,0,1,1,2,6,16,16,0,0,0,0,3,2,0,0,0,0,0,6,18,4,12,16,0,0,0,0,14,3,0,0,0,0
Region I,Ilocos Norte,Badoc,400004,"Juan Luna Memorial Academy, Inc.","cor. Parson and Osmena Sts., Brgy. Alogoog, Badoc, Ilocos Norte",ILOCOS NORTE,BADOC,2nd District,ALOGOOG,Private,Non-Sectarian ,School with no Annexes,JHS with SHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,51,40,50,46,42,48,49,0,0,0,0,0,0,16,26,22,18,0,0,0,0,0,0,0,0,0,0,0,0,18,16,38,14,0,0,0,0,0,0,0,0
Region I,Ilocos Norte,Badoc,400005,St. Elizabeth Elementary School,"02 Garreta, Badoc, Ilocos Norte",ILOCOS NORTE,BADOC,2nd District,GARRETA (POB.),Private,Sectarian ,School with no Annexes,Purely ES,11,14,4,5,4,9,6,3,6,2,6,7,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region I,Ilocos Norte,Badoc,410025,"Badoc Little Angels Learning Center, Inc.","Brgy. #1, Canaam, Badoc, Ilocos Norte",ILOCOS NORTE,BADOC,2nd District,CANAAN (POB.),Private,Non-Sectarian ,School with no Annexes,Purely ES,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region I,Ilocos Norte,Badoc,500000,Caraitan Integrated School,"Caraitan, Badoc, Ilocos Norte",ILOCOS NORTE,BADOC,2nd District,CARAITAN,Public,DepED Managed,School with no Annexes,All Offering,20,17,20,9,21,17,15,16,18,16,24,16,21,19,0,0,41,44,53,53,61,43,49,56,0,0,0,0,21,14,11,12,30,22,0,0,0,0,0,0,0,0,0,0,19,8,2,9,22,8,0,0,0,0,0,0,0,0
Region I,Ilocos Norte,Bangui,100043,Abaca Elementary School,None,ILOCOS NORTE,BANGUI,1st District,ABACA,Public,DepED Managed,School with no Annexes,Purely ES,8,7,11,12,10,12,14,9,4,5,18,18,19,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region I,Ilocos Norte,Bangui,100044,Alao-ao Elementary School,Alao-ao,ILOCOS NORTE,BANGUI,1st District,PAYAC,Public,DepED Managed,School with no Annexes,Purely ES,5,3,5,2,2,4,6,6,2,0,5,8,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region I,Ilocos Norte,Bangui,100045,Bacsil ES,None,ILOCOS NORTE,BANGUI,1st District,BACSIL,Public,DepED Managed,School with no Annexes,Purely ES,5,6,6,3,4,5,8,3,6,6,6,7,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region I,Ilocos Norte,Bangui,100046,Banban Elementary School,"Banban, Bangui",ILOCOS NORTE,BANGUI,1st District,BANBAN,Public,DepED Managed,School with no Annexes,Purely ES,25,10,18,10,15,19,18,16,10,12,17,15,17,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region I,Ilocos Norte,Bangui,100047,Bangui CES,Torres St.,ILOCOS NORTE,BANGUI,1st District,SAN LORENZO (POB.),Public,DepED Managed,School with no Annexes,Purely ES,22,26,26,23,16,18,27,22,17,13,35,30,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region I,Ilocos Norte,Bangui,100048,Baruyen Elementary School,"Brgy. 7, Baruyen, Bangui, Ilocos Norte",ILOCOS NORTE,BANGUI,1st District,BARUYEN,Public,DepED Managed,School with no Annexes,Purely ES,13,10,4,8,11,10,7,11,7,15,13,11,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region I,Ilocos Norte,Bangui,100049,Dadaor ES,"Brgy. Dadaor, Bangui, Ilocos Norte",ILOCOS NORTE,BANGUI,1st District,DADAOR,Public,DepED Managed,School with no Annexes,Purely ES,3,6,4,4,5,2,3,4,1,0,7,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region I,Ilocos Norte,Bangui,100050,Dumalneg ES,"J. Raval St. Brgy. Kalaw, Dumalneg, Ilocos Norte",ILOCOS NORTE,DUMALNEG,1st District,KALAW (DUMALNEG),Public,DepED Managed,School with no Annexes,Purely ES,16,25,25,20,16,12,21,19,10,14,12,25,22,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region I,Ilocos Norte,Bangui,100051,Lanao ES,"Brgy. 9, Lanao, Bangui, Ilocos Norte",ILOCOS NORTE,BANGUI,1st District,LANAO,Public,DepED Managed,School with no Annexes,Purely ES,21,12,16,14,18,8,18,17,14,13,29,30,17,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region I,Ilocos Norte,Bangui,100052,Masikil ES,National Road,ILOCOS NORTE,BANGUI,1st District,MASIKIL,Public,DepED Managed,School with no Annexes,Purely ES,7,5,2,4,4,7,1,7,1,0,5,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region I,Ilocos Norte,Bangui,100053,Nagbalagan ES,None,ILOCOS NORTE,BANGUI,1st District,NAGBALAGAN,Public,DepED Managed,School with no Annexes,Purely ES,8,10,10,11,9,12,13,12,5,7,23,9,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region I,Ilocos Norte,Bangui,100054,Paddagan ES,None,ILOCOS NORTE,BANGUI,1st District,PAYAC,Public,DepED Managed,School with no Annexes,Purely ES,1,0,2,3,1,1,3,1,0,1,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region I,Ilocos Norte,Bangui,100055,San Isidro Elementary School,Laguerta,ILOCOS NORTE,DUMALNEG,1st District,SAN ISIDRO,Public,DepED Managed,School with no Annexes,Purely ES,9,8,8,5,5,9,5,9,7,6,6,6,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region I,Ilocos Norte,Bangui,100056,Suyo ES,Baruyen,ILOCOS NORTE,BANGUI,1st District,BARUYEN,Public,DepED Managed,School with no Annexes,Purely ES,6,3,2,0,8,2,5,6,3,5,8,6,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region I,Ilocos Norte,Bangui,100057,Taguipuro ES,Taguiporo,ILOCOS NORTE,BANGUI,1st District,TAGUIPORO,Public,DepED Managed,School with no Annexes,Purely ES,5,5,6,5,8,4,5,4,2,3,7,8,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region I,Ilocos Norte,Bangui,300003,Bangui NHS,Alfredo Garvida St.,ILOCOS NORTE,BANGUI,1st District,SAN LORENZO (POB.),Public,DepED Managed,School with no Annexes,JHS with SHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,74,65,92,70,89,106,105,0,0,0,0,0,0,33,45,31,36,0,0,34,7,0,0,0,0,0,0,0,0,29,43,35,32,0,0,36,24,0,0,0,0
Region I,Ilocos Norte,Bangui,300017,Dumalneg NHS,Purok Regta,ILOCOS NORTE,DUMALNEG,1st District,QUIBEL (DUMALNEG),Public,DepED Managed,School with no Annexes,JHS with SHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,18,20,18,19,30,33,34,0,0,0,0,9,13,0,0,0,0,0,0,16,17,0,0,0,0,0,0,8,21,0,0,0,0,0,0,14,8,0,0,0,0
Region I,Ilocos Norte,Bangui,320801,BANBAN NHS,-,ILOCOS NORTE,BANGUI,1st District,BANBAN,Public,DepED Managed,School with no Annexes,JHS with SHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,34,51,44,42,43,60,44,0,0,0,0,40,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,24,0,0,9,17,0,0,0,0,0,0,0,0
Region I,Ilocos Norte,Bangui,320802,LANAO NATIONAL HIGH SCHOOL,"Provincial Rd,, Lanao, Bangui, ILocos Norte",ILOCOS NORTE,BANGUI,1st District,LANAO,Public,DepED Managed,School with no Annexes,JHS with SHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,29,25,25,30,38,31,31,0,0,18,16,19,18,0,0,0,0,0,0,0,0,0,0,0,0,14,12,15,27,0,0,0,0,0,0,0,0,0,0,0,0
Region I,Ilocos Norte,Bangui,400006,"St. Lawrence the Deacon Academy of Bangui, Ilocos Norte, Inc.","A. Acoba, Brgy. San Lorenzo, Bangui, Ilocos Norte",ILOCOS NORTE,BANGUI,1st District,SAN LORENZO (POB.),Private,Sectarian ,School with no Annexes,JHS with SHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,5,5,6,6,2,6,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0
Region I,Ilocos Norte,Banna (Espiritu),100058,Bangsar ES,Bangsar,ILOCOS NORTE,BANNA (ESPIRITU),2nd District,BANGSAR,Public,DepED Managed,School with no Annexes,Purely ES,1,3,3,4,3,5,4,6,4,3,5,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region I,Ilocos Norte,Banna (Espiritu),100059,Banna Central Elementary School,"Brgy. #4, Marcos, Banna, Ilocos Norte",ILOCOS NORTE,BANNA (ESPIRITU),2nd District,MARCOS (POB.),Public,DepED Managed,School with no Annexes,Purely ES,24,14,18,29,28,26,28,28,19,20,37,28,26,36,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region I,Ilocos Norte,Banna (Espiritu),100060,Barbarangay ES,Barbarangay,ILOCOS NORTE,BANNA (ESPIRITU),2nd District,BARBARANGAY,Public,DepED Managed,School with no Annexes,Purely ES,5,7,9,5,5,4,6,13,5,4,8,6,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region I,Ilocos Norte,Banna (Espiritu),100061,Bomitog ES,Banna - Pinili Rd.,ILOCOS NORTE,BANNA (ESPIRITU),2nd District,BOMITOG,Public,DepED Managed,School with no Annexes,Purely ES,11,4,8,7,16,8,16,6,6,6,15,17,13,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region I,Ilocos Norte,Banna (Espiritu),100062,Bugasi ES,Bugasi,ILOCOS NORTE,BANNA (ESPIRITU),2nd District,BUGASI,Public,DepED Managed,School with no Annexes,Purely ES,6,3,4,4,5,1,8,5,3,4,2,8,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region I,Ilocos Norte,Banna (Espiritu),100063,Caestebanan ES,Caestebanan,ILOCOS NORTE,BANNA (ESPIRITU),2nd District,CAESTEBANAN,Public,DepED Managed,School with no Annexes,Purely ES,8,5,2,4,6,7,9,2,5,7,10,4,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region I,Ilocos Norte,Banna (Espiritu),100064,Caribquib ES,"Brgy. #18, Caribquib, Caribquib, Banna Ilocos Norte",ILOCOS NORTE,BANNA (ESPIRITU),2nd District,CARIBQUIB,Public,DepED Managed,School with no Annexes,Purely ES,5,2,2,12,7,6,11,6,8,4,7,8,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region I,Ilocos Norte,Banna (Espiritu),100065,Catagtaguen ES,"Brgy. 11 Catagtaguen, Banna, Ilocos Norte",ILOCOS NORTE,BANNA (ESPIRITU),2nd District,CATAGTAGUEN,Public,DepED Managed,School with no Annexes,Purely ES,10,17,19,10,13,13,20,10,12,4,15,18,14,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region I,Ilocos Norte,Banna (Espiritu),100066,Crispina ES,"#20 Crispina Banna, Ilocos Norte",ILOCOS NORTE,BANNA (ESPIRITU),2nd District,CRISPINA,Public,DepED Managed,School with no Annexes,Purely ES,5,5,7,5,3,8,6,3,1,7,8,16,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region I,Ilocos Norte,Banna (Espiritu),100067,Imelda ES,Imelda,ILOCOS NORTE,BANNA (ESPIRITU),2nd District,IMELDA,Public,DepED Managed,School with no Annexes,Purely ES,5,5,1,3,3,5,7,7,1,0,2,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region I,Ilocos Norte,Banna (Espiritu),100068,Lading ES,"Brgy. 12, Balioeg",ILOCOS NORTE,BANNA (ESPIRITU),2nd District,BALIOEG,Public,DepED Managed,School with no Annexes,Purely ES,6,6,6,6,7,4,11,9,1,5,10,9,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region I,Ilocos Norte,Banna (Espiritu),100069,Macayepyep ES,Macayepyep,ILOCOS NORTE,BANNA (ESPIRITU),2nd District,MACAYEPYEP,Public,DepED Managed,School with no Annexes,Purely ES,7,13,6,4,7,8,12,9,7,5,8,13,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region I,Ilocos Norte,Banna (Espiritu),100070,Nagpatayan ES,"National Highway, Centro Nagpatayan",ILOCOS NORTE,BANNA (ESPIRITU),2nd District,NAGPATAYAN,Public,DepED Managed,School with no Annexes,Purely ES,5,3,4,5,9,3,8,2,6,4,10,11,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region I,Ilocos Norte,Banna (Espiritu),100071,Quiaoit Memorial ES,"Brgy. 9, Binacag, Banna, Ilocos Norte",ILOCOS NORTE,BANNA (ESPIRITU),2nd District,BINACAG,Public,DepED Managed,School with no Annexes,Purely ES,7,3,5,6,6,9,7,3,8,5,12,7,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region I,Ilocos Norte,Banna (Espiritu),100072,Sinamar ES,Sinamar,ILOCOS NORTE,BANNA (ESPIRITU),2nd District,SINAMAR,Public,DepED Managed,School with no Annexes,Purely ES,8,6,12,10,4,4,8,7,5,3,13,14,9,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region I,Ilocos Norte,Banna (Espiritu),100073,Tabtabagan Elementary School,Brgy. 17 Tabtabagan Banna Ilocos Norte,ILOCOS NORTE,BANNA (ESPIRITU),2nd District,TABTABAGAN,Public,DepED Managed,School with no Annexes,Purely ES,8,12,10,5,5,11,14,15,9,0,10,5,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region I,Ilocos Norte,Banna (Espiritu),100074,VALDEZ ELEMENTARY SCHOOL,"Valdez, Banna, Ilocos Norte",ILOCOS NORTE,BANNA (ESPIRITU),2nd District,VALDEZ,Public,DepED Managed,School with no Annexes,Purely ES,2,6,11,5,3,3,4,6,1,7,6,8,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region I,Ilocos Norte,Banna (Espiritu),300004,Banna National High School,"Zamora St., Banna, Ilocos Norte",ILOCOS NORTE,BANNA (ESPIRITU),2nd District,LORENZO (POB.),Public,DepED Managed,School with no Annexes,JHS with SHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,29,45,51,41,62,55,57,0,0,5,17,26,25,20,9,0,0,0,0,0,0,0,0,0,0,6,12,16,18,10,17,0,0,0,0,0,0,0,0,0,0
